age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,degree,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,marital,mode,news,owngun,partyid_3,polviews,pornlaw2,pray,pres08,reborn_r,relig,science_quiz,sex,sibs,social_connect,social_cons3,south,spend3,teensex,tolerance,tvhours,vetyears,wordsum,zodiac
24,Every wk,5,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,22,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,13,Married,IN-PERSON,NEVER,YES,Dem,Conserv,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,5,Male,4,4,Mod,Nonsouth,Liberal,ALWAYS WRONG,9,3,NONE,5,SAGITTARIUS
75,Nrly evry wk,3,No,YES,6,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,29,Low,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,18,Married,IN-PERSON,NEVER,NO,Rep,SlghtCons,Illegal to all,LT ONCE A WEEK,Obama,No,PROTESTANT,4,Male,11,6,Conserv,Nonsouth,Conserv,ALWAYS WRONG,10,4,2 TO 4 YEARS,3,CAPRICORN
40,>Once/wk,3,No,YES,4,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,1,Graduate deg,15,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,18,Married,IN-PERSON,FEW TIMES A WEEK,NO,Ind,SlghtCons,Illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,6,Male,1,6,Conserv,Nonsouth,Mod,ALWAYS WRONG,11,0,NONE,8,TAURUS
30,Every wk,2,No,YES,1,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,28,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,13,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Ind,SlghtLib,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,NATIVE AMERICAN,6,Male,7,10,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,12,2,NONE,8,TAURUS
56,Every wk,3,No,YES,7,NOT ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,2,Graduate deg,10,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,25,Married,IN-PERSON,EVERYDAY,YES,Rep,Conserv,Illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,4,Female,9,5,Conserv,Nonsouth,Conserv,ALWAYS WRONG,9,1,NONE,7,LEO
40,Never,1,No,YES,1,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,Bachelor deg,31,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,25,Married,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,NONE,7,Male,3,3,Liberal,Nonsouth,Liberal,ALMST ALWAYS WRG,14,4,NONE,6,CAPRICORN
38,Every wk,3,No,YES,3,ALLOWED,ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,1,Mod,LEGAL,VERY HAPPY,No,ALWAYS WRONG,21,Married,IN-PERSON,FEW TIMES A WEEK,YES,Rep,Conserv,Illegal to all,ONCE A DAY,McCain,No,PROTESTANT,3,Female,2,5,Conserv,Nonsouth,Conserv,ALWAYS WRONG,12,5,NONE,6,SCORPIO
69,Once/mo,0,No,YES,4,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,1,Bachelor deg,1,Low,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,16,Widowed,IN-PERSON,LESS THAN ONCE WK,YES,Rep,Conserv,Illegal to all,LT ONCE A WEEK,McCain,No,PROTESTANT,8,Female,8,7,Mod,Nonsouth,Conserv,ALWAYS WRONG,10,1,NONE,9,GEMINI
64,Nrly evry wk,3,No,YES,4,NOT ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,1,Bachelor deg,8,Low,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,16,Married,IN-PERSON,EVERYDAY,REFUSED,Rep,SlghtCons,Illegal to all,SEVERAL TIMES A DAY,McCain,No,PROTESTANT,8,Male,4,5,Conserv,Nonsouth,Conserv,ALWAYS WRONG,13,2,NONE,6,LIBRA
29,Never,2,No,YES,3,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,1,HS,7,Mod,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Married,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,ONCE A DAY,Obama,Yes,CHRISTIAN,6,Male,3,7,Liberal,South,Liberal,ALWAYS WRONG,12,3,NONE,5,PISCES
49,Sev times/yr,3,No,YES,0,NOT ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,15,High,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,18,Divorced,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Moderate,Illegal to all,SEVERAL TIMES A WEEK,Obama,Yes,PROTESTANT,4,Female,3,6,Conserv,South,Mod,ALWAYS WRONG,11,3,NONE,5,GEMINI
32,Every wk,4,No,YES,3,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,1,HS,4,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,20,Married,OVER THE PHONE,NEVER,YES,Rep,Moderate,Illegal to all,ONCE A DAY,McCain,Yes,PROTESTANT,4,Male,1,4,Conserv,South,Mod,ALWAYS WRONG,4,2,NONE,6,ARIES
55,Never,1,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,HS,2,High,LEGAL,VERY HAPPY,No,ALWAYS WRONG,21,Married,IN-PERSON,LESS THAN ONCE WK,NO,Rep,ExtrmCons,Not illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,6,Female,2,5,Liberal,South,Mod,ALWAYS WRONG,12,3,NONE,6,ARIES
